Region,Country20,Year,Trade_Balance_m,Exports_m,Imports_m
East,Norway,2020,-50.44,386.05,436.49
East,Norway,2021,-37.78,320.17,357.95
East,Norway,2022,-284.07,200.82,484.88
East,Norway,2023,-230.62,218.96,449.58
East,Norway,2024,-147.38,206.54,353.92
East,Poland,2016,-990.61,593.32,1583.93
East,Poland,2017,-1011.16,597.67,1608.83
East,Poland,2018,-822.92,533.88,1356.79
East,Poland,2019,-849.54,426.79,1276.33
East,Poland,2020,-677.22,468.26,1145.48
East,Poland,2021,-535.66,479.85,1015.5
East,Poland,2022,-671.71,616.87,1288.58
East,Poland,2023,-787.54,658.3,1445.84
East,Poland,2024,-838.09,618.07,1456.17
East,Rest of EU,2016,-1160.89,1560.61,2721.49
East,Rest of EU,2017,-1004.79,1591.54,2596.32
East,Rest of EU,2018,-1097.07,1677.43,2774.49
East,Rest of EU,2019,-1205.9,1611.58,2817.48
East,Rest of EU,2020,-933.86,1383.62,2317.46
East,Rest of EU,2021,-994.94,1379.2,2374.13
East,Rest of EU,2022,-1852.18,1399.95,3252.11
East,Rest of EU,2023,-1986.06,1508.62,3494.7
East,Rest of EU,2024,-1859.97,1433.6,3293.57
East,Rest of world,2016,-686.55,5276.32,5962.85
East,Rest of world,2017,-1015.58,5973.74,6989.32
East,Rest of world,2018,-1388.38,5367.54,6755.91
East,Rest of world,2019,-688.18,5784.32,6472.52
East,Rest of world,2020,-570.81,5310.8,5881.59
East,Rest of world,2021,-1348.89,5742.76,7091.66
East,Rest of world,2022,-2052.21,6086.8,8138.99
East,Rest of world,2023,-828.85,6497.04,7325.9
East,Rest of world,2024,-1450.39,5958.98,7409.35
East,Singapore,2016,67.56,184.89,117.33
East,Singapore,2017,53.12,186.33,133.21
East,Singapore,2018,22.59,182.15,159.57
East,Singapore,2019,31.42,193.91,162.48
East,Singapore,2020,-17.29,162.94,180.23
East,Singapore,2021,-161.06,158.26,319.32
East,Singapore,2022,-82.9,174.1,257
East,Singapore,2023,-59.07,167.15,226.22
East,Singapore,2024,-18.07,154.19,172.27
East,Spain,2016,-1526.98,1025.73,2552.71
East,Spain,2017,-1364.27,1036.54,2400.81
East,Spain,2018,-675.53,1054.09,1729.62
East,Spain,2019,-1312.89,1063.43,2376.32
East,Spain,2020,-1176.13,870.47,2046.6
East,Spain,2021,-1350.71,691.6,2042.31
East,Spain,2022,-1042.16,834.18,1876.34
East,Spain,2023,-1105.39,863.57,1968.96
East,Spain,2024,-1364.72,749.33,2114.05
East,Sweden,2016,-190.95,354.19,545.15
East,Sweden,2017,-221.99,411.28,633.26
East,Sweden,2018,-171.57,386.79,558.36
East,Sweden,2019,-116.96,389.35,506.31
East,Sweden,2020,-197.01,291.91,488.91
East,Sweden,2021,-243.38,404.49,647.87
East,Sweden,2022,-521.73,355.86,877.59
East,Sweden,2023,-612.89,332.33,945.23
East,Sweden,2024,-493.05,296.42,789.47
East,Switzerland,2016,-618.23,373.08,991.32
East,Switzerland,2017,-397.77,274.27,672.03
East,Switzerland,2018,-227.71,276.21,503.92
East,Switzerland,2019,-392.85,299.49,692.34
East,Switzerland,2020,-473.57,373.1,846.67
East,Switzerland,2021,-730.26,545.03,1275.29
East,Switzerland,2022,-896.06,353.68,1249.74
East,Switzerland,2023,-844.28,309.15,1153.43
East,Switzerland,2024,-931.23,293.08,1224.31
East,United States,2016,1021.33,4115.62,3094.29
East,United States,2017,575.21,3778.8,3203.58
East,United States,2018,559.29,3845.07,3285.78
East,United States,2019,1015.47,4278.18,3262.71
East,United States,2020,756.18,3937.49,3181.3
East,United States,2021,1133.65,4512.14,3378.49
East,United States,2022,1411.79,5135.01,3723.22
East,United States,2023,1884.73,6175.19,4290.46
East,United States,2024,2172.32,6153.22,3980.91
East Midlands,Australia,2016,139.9,189.03,49.13
East Midlands,Australia,2017,180.95,229.56,48.61
East Midlands,Australia,2018,182.05,244.52,62.48
East Midlands,Australia,2019,122.68,208.13,85.45
East Midlands,Australia,2020,118.03,199.38,81.35
East Midlands,Australia,2021,163.52,236.06,72.55
East Midlands,Australia,2022,178.97,245.86,66.89
East Midlands,Australia,2023,201.35,254.98,53.63
East Midlands,Australia,2024,198.71,256.09,57.38
East Midlands,Belgium,2016,-441.12,1072.34,1513.46
East Midlands,Belgium,2017,-600.22,1064.85,1665.07
East Midlands,Belgium,2018,-649.57,1170.95,1820.52
East Midlands,Belgium,2019,-436.09,1494.71,1930.79
East Midlands,Belgium,2020,-382.94,1258.95,1641.89
East Midlands,Belgium,2021,112.35,1339.72,1227.37
East Midlands,Belgium,2022,-238.07,1098.88,1336.95
East Midlands,Belgium,2023,306.08,1737.38,1431.31
East Midlands,Belgium,2024,-97.21,1165.08,1262.29
East Midlands,Canada,2016,40.31,286.08,245.77
East Midlands,Canada,2017,106.91,356.07,249.16
East Midlands,Canada,2018,150.96,394.98,244.01
East Midlands,Canada,2019,181.14,404.4,223.26
East Midlands,Canada,2020,72.89,322.9,250.01
East Midlands,Canada,2021,-157.35,271.06,428.41
East Midlands,Canada,2022,-114.09,256.03,370.13
East Midlands,Canada,2023,13.51,338.26,324.75
East Midlands,Canada,2024,114.84,352.85,238.01
East Midlands,China,2016,-1800.58,661.88,2462.45
East Midlands,China,2017,-1890,735.24,2625.24
East Midlands,China,2018,-1945.53,717.07,2662.59
East Midlands,China,2019,-2140.61,739.85,2880.45
East Midlands,China,2020,-2944.5,555.11,3499.61
East Midlands,China,2021,-2819.47,580.04,3399.51
East Midlands,China,2022,-3358.76,549.24,3908
East Midlands,China,2023,-2685.53,568.98,3254.51
East Midlands,China,2024,-2576.3,558.79,3135.08
East Midlands,France,2016,-285.58,895.24,1180.82
East Midlands,France,2017,569.47,1804.63,1235.16
East Midlands,France,2018,610.9,1946.24,1335.34
East Midlands,France,2019,501.42,1832.82,1331.4
East Midlands,France,2020,368.36,1475.24,1106.88
East Midlands,France,2021,36.12,1586.95,1550.83
East Midlands,France,2022,-537.27,2135.85,2673.12
East Midlands,France,2023,-621.07,2417.73,3038.8
East Midlands,France,2024,-268.55,2526.72,2795.28
East Midlands,Germany,2016,-1429.1,2063.93,3493.03
East Midlands,Germany,2017,-1610.45,2435.62,4046.07
East Midlands,Germany,2018,-1508.98,2644.97,4153.94
East Midlands,Germany,2019,-1512.89,2743.56,4256.45
East Midlands,Germany,2020,-1426.1,2249.8,3675.9
East Midlands,Germany,2021,-1751.08,1881.75,3632.83
East Midlands,Germany,2022,-1641.46,2460.53,4101.99
East Midlands,Germany,2023,-1583.79,2868.65,4452.43
East Midlands,Germany,2024,-1244.42,2617.11,3861.53
East Midlands,India,2016,-258.18,224.15,482.32
East Midlands,India,2017,-322.56,249.61,572.17
East Midlands,India,2018,-355.16,243.8,598.96
East Midlands,India,2019,-401.86,193.88,595.74
East Midlands,India,2020,-259.78,186.01,445.79
East Midlands,India,2021,-339.52,222.05,561.57
East Midlands,India,2022,-448.25,246.6,694.85
East Midlands,India,2023,-307.92,312.74,620.65
East Midlands,India,2024,-318.93,308.44,627.38
East Midlands,Ireland,2016,764.35,1258.44,494.09
East Midlands,Ireland,2017,642.47,1215.93,573.46
East Midlands,Ireland,2018,827.59,1327.63,500.04
East Midlands,Ireland,2019,867.29,1339.89,472.6
East Midlands,Ireland,2020,847.25,1269.04,421.8
East Midlands,Ireland,2021,599.12,1016.7,417.57
East Midlands,Ireland,2022,857.41,1297.51,440.1
East Midlands,Ireland,2023,781.07,1272.04,490.97
East Midlands,Ireland,2024,578.82,1155.04,576.21
East Midlands,Italy,2016,-625.98,590.61,1216.59
East Midlands,Italy,2017,-689.83,627.23,1317.07
East Midlands,Italy,2018,-677.87,618.03,1295.91
East Midlands,Italy,2019,-584.39,785.58,1369.97
East Midlands,Italy,2020,-486.71,581.66,1068.37
East Midlands,Italy,2021,-566.43,638.35,1204.78
East Midlands,Italy,2022,-932.15,633.85,1565.99
East Midlands,Italy,2023,-919.53,612.85,1532.38
East Midlands,Italy,2024,-988.62,550.59,1539.21
East Midlands,Japan,2016,-488.59,371.18,859.77
East Midlands,Japan,2017,-594.49,448.83,1043.31
East Midlands,Japan,2018,-559.58,580.91,1140.48
East Midlands,Japan,2019,-732.76,547.71,1280.47
East Midlands,Japan,2020,-513.7,366.88,880.58
East Midlands,Japan,2021,-1096.55,336.42,1432.97
East Midlands,Japan,2022,-1076.33,426.48,1502.81
East Midlands,Japan,2023,-1220.91,553.78,1774.69
East Midlands,Japan,2024,-811.6,755.96,1567.56
East Midlands,Netherlands,2016,-1411.06,764.82,2175.88
East Midlands,Netherlands,2017,-1669.96,850.16,2520.11
East Midlands,Netherlands,2018,-1740.28,875.35,2615.63
East Midlands,Netherlands,2019,-1737.08,997.73,2734.81
East Midlands,Netherlands,2020,-1525.09,755.94,2281.03
East Midlands,Netherlands,2021,-1078.74,1258.82,2337.56
East Midlands,Netherlands,2022,-1744.41,1442.06,3186.47
East Midlands,Netherlands,2023,-1940.28,1100.13,3040.41
East Midlands,Netherlands,2024,-1636.86,1083.61,2720.47
East Midlands,Norway,2016,71.52,187.99,116.47
East Midlands,Norway,2017,60,169.41,109.41
East Midlands,Norway,2018,81.21,181.05,99.84
East Midlands,Norway,2019,96.32,191.49,95.16
East Midlands,Norway,2020,204.92,265.7,60.78
East Midlands,Norway,2021,74.79,155.16,80.37
East Midlands,Norway,2022,77.71,166.12,88.41
East Midlands,Norway,2023,83.31,175.34,92.03
East Midlands,Norway,2024,85.87,190.29,104.42
East Midlands,Poland,2016,-354.38,243.56,597.94
East Midlands,Poland,2017,-337.47,272.39,609.85
East Midlands,Poland,2018,-301.68,311.5,613.18
East Midlands,Poland,2019,-360.49,336.12,696.61
East Midlands,Poland,2020,-332.3,299.62,631.92
East Midlands,Poland,2021,-310.4,295.35,605.74
East Midlands,Poland,2022,-329.98,346.91,676.89
East Midlands,Poland,2023,-291.71,429.66,721.38
East Midlands,Poland,2024,-387.62,377.23,764.85
East Midlands,Rest of EU,2016,-671.47,951.04,1622.5
East Midlands,Rest of EU,2017,-507.69,1167.05,1674.73
East Midlands,Rest of EU,2018,-835.14,1189.34,2024.47
East Midlands,Rest of EU,2019,-953.42,1098,2051.43
East Midlands,Rest of EU,2020,-671.72,957.91,1629.61
East Midlands,Rest of EU,2021,-772.94,988.35,1761.27
East Midlands,Rest of EU,2022,-1072.21,1037.14,2109.32
East Midlands,Rest of EU,2023,-1123.68,1029.24,2152.91
East Midlands,Rest of EU,2024,-1197.17,992.22,2189.4
East Midlands,Rest of world,2016,3.63,3486.39,3482.77
East Midlands,Rest of world,2017,80.59,4098.74,4018.17
East Midlands,Rest of world,2018,97.4,4449.55,4352.15
East Midlands,Rest of world,2019,643.3,5412.86,4769.54
East Midlands,Rest of world,2020,675.76,4850.21,4174.49
East Midlands,Rest of world,2021,-311.64,4216.98,4528.63
East Midlands,Rest of world,2022,25.86,5544.79,5518.97
East Midlands,Rest of world,2023,1188.62,6694.07,5505.49
East Midlands,Rest of world,2024,2070.16,6726.62,4656.48
East Midlands,Singapore,2016,1015.29,1188.69,173.4
East Midlands,Singapore,2017,1131.64,1300.98,169.34
East Midlands,Singapore,2018,1062.41,1329.08,266.66
East Midlands,Singapore,2019,1213.25,1524.74,311.5
East Midlands,Singapore,2020,973.53,1318.74,345.22
East Midlands,Singapore,2021,893.23,1153.96,260.74
East Midlands,Singapore,2022,1538.68,1812.46,273.78
East Midlands,Singapore,2023,1766.19,2138.67,372.48
East Midlands,Singapore,2024,1987.37,2161.09,173.71
East Midlands,Spain,2016,-150.1,730.89,880.98
East Midlands,Spain,2017,-198.37,746.84,945.22
East Midlands,Spain,2018,-96.4,793.41,889.81
East Midlands,Spain,2019,40.98,921.8,880.82
East Midlands,Spain,2020,-135.92,691.73,827.65
East Midlands,Spain,2021,-114.58,751.21,865.79
East Midlands,Spain,2022,-175.95,954.81,1130.76
East Midlands,Spain,2023,-593.38,685.81,1279.19
East Midlands,Spain,2024,-733.03,764.13,1497.16
East Midlands,Sweden,2016,208.45,547.49,339.04
East Midlands,Sweden,2017,151.24,528.22,376.98
East Midlands,Sweden,2018,57.78,514.27,456.49
East Midlands,Sweden,2019,56.51,559.08,502.57
East Midlands,Sweden,2020,36.45,434.6,398.16
East Midlands,Sweden,2021,93.37,455.19,361.81
East Midlands,Sweden,2022,-91.52,364.34,455.86
East Midlands,Sweden,2023,-296.59,227.69,524.27
East Midlands,Sweden,2024,-244.86,212.66,457.51
East Midlands,Switzerland,2016,32.26,124.64,92.38
East Midlands,Switzerland,2017,19.38,125.72,106.33
East Midlands,Switzerland,2018,14.38,134.29,119.92
East Midlands,Switzerland,2019,16.77,154.38,137.62
East Midlands,Switzerland,2020,45.27,149.91,104.64
East Midlands,Switzerland,2021,-85.27,160.07,245.35
East Midlands,Switzerland,2022,-134.73,136.65,271.39
East Midlands,Switzerland,2023,-120.32,121.54,241.86
East Midlands,Switzerland,2024,-108.87,133.92,242.79
East Midlands,United States,2016,-179.46,1907.97,2087.43
East Midlands,United States,2017,-312.77,2128.1,2440.87
East Midlands,United States,2018,21.31,2526.41,2505.1
East Midlands,United States,2019,147.85,2851.41,2703.55
East Midlands,United States,2020,639.14,2539.06,1899.93
East Midlands,United States,2021,970.97,2501.02,1530.06
East Midlands,United States,2022,509.17,3057.03,2547.87
East Midlands,United States,2023,1360.7,3929.07,2568.36
East Midlands,United States,2024,1196.43,3575.34,2378.91
London,Australia,2016,41.11,282.35,241.24
London,Australia,2017,-105.88,334.42,440.31
London,Australia,2018,16.41,378.79,362.38
London,Australia,2019,56.94,351.93,294.99
London,Australia,2020,255.25,435.75,180.5
London,Australia,2021,14.74,388.27,373.53
London,Australia,2022,99.21,437.49,338.29
London,Australia,2023,-178.48,370.49,548.97
London,Australia,2024,-167.97,360.97,528.95
London,Belgium,2016,-1778.13,740.86,2518.98
London,Belgium,2017,-2351.19,721.52,3072.71
London,Belgium,2018,-2357.33,911.86,3269.19
London,Belgium,2019,-2276.4,900.67,3177.07
London,Belgium,2020,-2045.95,871.62,2917.56
London,Belgium,2021,-1132.93,1313.62,2446.55
London,Belgium,2022,-1578.74,1811.91,3390.65
London,Belgium,2023,-1447.35,1606.51,3053.85
London,Belgium,2024,-2160.75,1268.25,3429.01
London,Canada,2016,-57.89,456,513.89
London,Canada,2017,-86.26,371.36,457.61
London,Canada,2018,-152.58,328.62,481.2
London,Canada,2019,-133.68,242.82,376.5
London,Canada,2020,991.81,1264.27,272.46
London,Canada,2021,989.75,1229.82,240.07
London,Canada,2022,858.34,1397.45,539.11
London,Canada,2023,321.22,863.52,542.3
London,Canada,2024,331.59,644.22,312.63
London,China,2016,-7232.77,1082.5,8315.27
London,China,2017,-7042.65,1875.89,8918.54
London,China,2018,-7985.77,1224.96,9210.72
London,China,2019,-9901.16,1163.57,11064.73
London,China,2020,-3986.83,1086.22,5073.05
London,China,2021,-5293.39,2579.5,7872.9
London,China,2022,-5992.85,2337.28,8330.13
London,China,2023,-7561.22,1567.5,9128.71
London,China,2024,-6843.62,1635.72,8479.35
London,France,2016,-2213.46,2100.03,4313.48
London,France,2017,-2042.3,2267.04,4309.34
London,France,2018,-2869.8,2278.95,5148.75
London,France,2019,-3824.21,3504.3,7328.51
London,France,2020,-2823.51,2281.33,5104.84
London,France,2021,-1598.06,2056.55,3654.61
London,France,2022,-3280.09,2346.36,5626.45
London,France,2023,-4794.14,2368.05,7162.19
London,France,2024,-4322.8,2349.8,6672.6
London,Germany,2016,-2912.88,2745.67,5658.55
London,Germany,2017,-2903.88,3069.48,5973.36
London,Germany,2018,-2887.16,3209.68,6096.85
London,Germany,2019,-1652.48,4213.41,5865.89
London,Germany,2020,-1587.47,4122.57,5710.05
London,Germany,2021,-1843.16,2505.08,4348.24
London,Germany,2022,-1440,3865.36,5305.36
London,Germany,2023,-3054.99,2609.76,5664.75
London,Germany,2024,-1838.16,2606.73,4444.89
London,India,2016,-710.99,406.6,1117.58
London,India,2017,-773.19,557.12,1330.31
London,India,2018,-156.09,1055.9,1211.99
London,India,2019,-564.6,984.25,1548.84
London,India,2020,-761.93,366.05,1127.98
London,India,2021,-858.69,829.04,1687.73
London,India,2022,544.14,2665.15,2121.01
London,India,2023,-890.92,1164.34,2055.26
London,India,2024,-360.48,1821.28,2181.76
London,Ireland,2016,-35.1,1710.26,1745.36
London,Ireland,2017,368.25,1936.8,1568.55
London,Ireland,2018,366.73,1993.03,1626.29
London,Ireland,2019,467.92,2370.2,1902.28
London,Ireland,2020,277.21,2131.4,1854.19
London,Ireland,2021,-183.59,1571.23,1754.82
London,Ireland,2022,714.16,2675.96,1961.8
London,Ireland,2023,605.91,2842.45,2236.55
London,Ireland,2024,-240.4,2094.82,2335.22
London,Italy,2016,-2026.16,1050.47,3076.63
London,Italy,2017,-2251.41,1033.5,3284.91
London,Italy,2018,-2265.34,1093.19,3358.53
London,Italy,2019,-2544.02,1244.87,3788.89
London,Italy,2020,-2232.97,1200.14,3433.11
London,Italy,2021,-2161.98,902.81,3064.79
London,Italy,2022,-2800.6,1165.15,3965.75
London,Italy,2023,-2544.84,1101.81,3646.65
London,Italy,2024,-2936.08,781.17,3717.25
London,Japan,2016,-155.92,517.32,673.24
London,Japan,2017,-104.11,489.67,593.78
London,Japan,2018,-292.97,530.55,823.52
London,Japan,2019,-99.48,482.16,581.64
London,Japan,2020,189.73,654.36,464.63
London,Japan,2021,144.18,532.41,388.24
London,Japan,2022,-91.97,458.95,550.91
London,Japan,2023,-200.99,384.12,585.12
London,Japan,2024,125.94,581.65,455.71
London,Netherlands,2016,-2281.46,1730.83,4012.29
London,Netherlands,2017,-2223.3,2189.37,4412.67
London,Netherlands,2018,-2240.9,2889.1,5130.01
London,Netherlands,2019,-3048.68,2530.55,5579.23
London,Netherlands,2020,-2460.24,2027.9,4488.14
London,Netherlands,2021,-248.31,3687.59,3935.9
London,Netherlands,2022,-4510.87,4894.94,9405.8
London,Netherlands,2023,-3917.09,4070.15,7987.24
London,Netherlands,2024,-3332.1,3391.18,6723.28
London,Norway,2016,-1935.88,162.68,2098.55
London,Norway,2017,-1440.73,168.38,1609.11
London,Norway,2018,-1131.85,157.41,1289.26
London,Norway,2019,-2091.43,232.56,2324
London,Norway,2020,-1952.29,261.44,2213.73
London,Norway,2021,-1193.3,171.43,1364.72
London,Norway,2022,-2980.87,224.22,3205.09
London,Norway,2023,-2076.56,341.77,2418.33
London,Norway,2024,-1971.87,339.97,2311.84
London,Poland,2016,-763.44,392.68,1156.12
London,Poland,2017,-517.36,547.61,1064.97
London,Poland,2018,-688.88,447.73,1136.61
London,Poland,2019,-700.99,829.13,1530.12
London,Poland,2020,-1044.61,564.7,1609.31
London,Poland,2021,-857.49,269.68,1127.17
London,Poland,2022,-401.31,846.81,1248.12
London,Poland,2023,-434.43,837.67,1272.1
London,Poland,2024,-484.76,737.16,1221.92
London,Rest of EU,2016,-1433.13,1733.38,3166.53
London,Rest of EU,2017,-1310.92,1862.09,3173.01
London,Rest of EU,2018,-1578.35,1894.78,3473.12
London,Rest of EU,2019,-1841.13,1953.13,3794.26
London,Rest of EU,2020,-1311.24,1753.94,3065.2
London,Rest of EU,2021,-1450.47,1132.11,2582.59
London,Rest of EU,2022,-1474.96,1983.99,3458.96
London,Rest of EU,2023,-1998.8,1335.64,3334.44
London,Rest of EU,2024,-1848.81,1251.43,3100.23
London,Rest of world,2016,-4432.75,7282.27,11715.01
London,Rest of world,2017,-4047.68,9619.51,13667.18
London,Rest of world,2018,-4660.68,9733.42,14394.09
London,Rest of world,2019,-7103.09,8100.98,15204.09
London,Rest of world,2020,-3757.06,7826.27,11583.36
London,Rest of world,2021,-7889.03,8482.56,16371.58
London,Rest of world,2022,-14100.13,9968.57,24068.69
London,Rest of world,2023,-6755.04,9196.65,15951.65
London,Rest of world,2024,-4887.66,8334.43,13222.07
London,Singapore,2016,-19.4,300.38,319.79
London,Singapore,2017,-17.91,326.18,344.08
London,Singapore,2018,117.75,358.25,240.5
London,Singapore,2019,68.65,468.2,399.55
London,Singapore,2020,149.42,306.57,157.15
London,Singapore,2021,-122.31,271.03,393.35
London,Singapore,2022,-165.03,360.65,525.68
London,Singapore,2023,-126.29,344.35,470.64
London,Singapore,2024,-124.29,308.17,432.46
London,Spain,2016,-854.28,907.43,1761.7
London,Spain,2017,-939.63,910.51,1850.13
London,Spain,2018,-786.32,893.56,1679.88
London,Spain,2019,-1221.07,1205,2426.06
London,Spain,2020,-1007.06,1061.55,2068.6
London,Spain,2021,-1128.23,665.46,1793.7
London,Spain,2022,-1632.66,738.98,2371.64
London,Spain,2023,-1997.74,696.46,2694.2
London,Spain,2024,-2061.32,655.79,2717.11
London,Sweden,2016,-302.53,431.84,734.37
London,Sweden,2017,-183.02,624.25,807.27
London,Sweden,2018,-489.8,530.67,1020.47
London,Sweden,2019,-158.68,554.91,713.59
London,Sweden,2020,-109.9,512.31,622.21
London,Sweden,2021,-288.94,277.5,566.44
London,Sweden,2022,60.94,839.32,778.37
London,Sweden,2023,-371.55,305.39,676.94
London,Sweden,2024,-268.85,450.38,719.24
London,Switzerland,2016,832.91,1888.7,1055.79
London,Switzerland,2017,762.83,2063.08,1300.25
London,Switzerland,2018,561.51,1715.44,1153.93
London,Switzerland,2019,72.53,1485.31,1412.78
London,Switzerland,2020,557.22,1598.66,1041.44
London,Switzerland,2021,-464.43,1555.62,2020.05
London,Switzerland,2022,-757.52,1835.71,2593.24
London,Switzerland,2023,-839.28,1372.46,2211.74
London,Switzerland,2024,-1628.44,1030.79,2659.24
London,United States,2016,869.68,5885.16,5015.48
London,United States,2017,1251.7,5322.64,4070.93
London,United States,2018,1297.92,5934.18,4636.26
London,United States,2019,545.29,5406.03,4860.75
London,United States,2020,426.61,4666.93,4240.31
London,United States,2021,692.53,5008.59,4316.06
London,United States,2022,-4788.58,5799.97,10588.55
London,United States,2023,-5739.16,5230.54,10969.7
London,United States,2024,-3985.74,5449.6,9435.34
North East,Australia,2016,152.86,203.81,50.95
North East,Australia,2017,184.39,237.03,52.63
North East,Australia,2018,203.36,267.54,64.18
North East,Australia,2019,156.66,233.91,77.24
North East,Australia,2020,120.81,193.96,73.14
North East,Australia,2021,97.01,171.8,74.79
North East,Australia,2022,65.53,175.87,110.34
North East,Australia,2023,247.94,326.21,78.27
North East,Australia,2024,136.86,224.54,87.69
North East,Belgium,2016,195.61,701.33,505.72
North East,Belgium,2017,196.42,818.75,622.34
North East,Belgium,2018,236.77,830.18,593.42
North East,Belgium,2019,204.4,787.41,583.01
North East,Belgium,2020,-154.04,521.19,675.23
North East,Belgium,2021,-380.96,493.18,874.14
North East,Belgium,2022,-1098.42,525.67,1624.09
North East,Belgium,2023,-767.5,676.8,1444.3
North East,Belgium,2024,-775.05,736.16,1511.21
North East,Canada,2016,-17.71,77.66,95.37
North East,Canada,2017,-14.18,84.31,98.48
North East,Canada,2018,-44.42,80,124.42
North East,Canada,2019,-81.8,71.32,153.12
North East,Canada,2020,-67.09,57.27,124.36
