Country20,Year,Trade_Balance_m,Exports_m,Imports_m
Singapore,2022,2211.38,5057.84,2846.46
Singapore,2023,3001.57,5758.41,2756.84
Singapore,2024,3447.32,6030.40,2583.08
Spain,2016,-5673.76,9385.42,15059.18
Spain,2017,-5079.18,10136.23,15215.41
Spain,2018,-5121.55,10176.83,15298.38
Spain,2019,-5804.37,10380.09,16184.46
Spain,2020,-5496.31,8238.46,13734.77
Spain,2021,-6113.97,7303.64,13417.61
Spain,2022,-8550.95,8793.00,17343.95
Spain,2023,-9599.45,8674.64,18274.10
Spain,2024,-10544.58,8663.46,19208.04
Sweden,2016,-1662.89,4586.64,6249.53
Sweden,2017,-1643.85,5280.34,6924.19
Sweden,2018,-1600.68,5510.56,7111.24
Sweden,2019,-1517.36,5006.88,6524.23
Sweden,2020,-1128.41,4356.36,5484.78
Sweden,2021,-1518.91,4419.89,5938.79
Sweden,2022,-1916.80,5806.66,7723.46
Sweden,2023,-2756.45,4848.35,7604.80
Sweden,2024,-2415.66,4983.00,7398.67
Switzerland,2016,-2127.74,5659.26,7786.99
Switzerland,2017,-1885.12,5878.19,7763.31
Switzerland,2018,-814.68,5639.28,6453.96
Switzerland,2019,17.19,5884.37,5867.18
Switzerland,2020,337.85,5274.62,4936.77
Switzerland,2021,-3689.62,5381.87,9071.50
Switzerland,2022,-4026.47,5789.15,9815.62
Switzerland,2023,-4369.34,4829.65,9198.99
Switzerland,2024,-4358.94,4348.73,8707.67
United States,2016,9535.59,45136.36,35600.77
United States,2017,8614.52,45734.80,37120.28
United States,2018,9868.74,49144.77,39276.03
United States,2019,10436.31,52211.06,41774.76
United States,2020,7151.38,42407.36,35255.98
United States,2021,6923.14,43511.00,36587.87
United States,2022,-7290.06,52176.45,59466.51
United States,2023,-826.97,55912.56,56739.53
United States,2024,1247.56,54533.98,53286.42
